name,category,activity,halls,booths,latitude,longitude,leadScore
"پویش کامپوزیت یکتا","عایق و شیمی ساختمان","تولید کننده چسب های اپوکسی دو جزئی صنعتی و ساختمانی","سالن ۳۱A","۳۱۲۲",35.79112,51.4108,84
"پیشتاز بتن فرتاک","عایق و شیمی ساختمان","تولید پانلهای عایق نما با بتن الیافی","سالن ۵","۵۱۴",35.79272,51.40705,84
"گروه صنعتی سانا عایق","عایق و شیمی ساختمان","تولید کننده انواع عایق های برودتی حرارتی فوم الاستومری و کانال گالوانیزه و عایق صوتی","سالن ۸ و ۹","۸۱۳",35.79208,51.40695,84
"گیلان میکا","عایق و شیمی ساختمان","تولید کننده و مجری پوشش های ضدحریق","سالن ۴۰ بالا","۴۰۱۴",35.791,51.4092,84
"آدرین اطلس ماندگار","فولاد و سازه","تولید کننده پانل های ساختمانی","سالن ۳۵","۳۵۲۰",35.78932,51.40755,84
"آريا تدبير پاژ","فولاد و سازه","طراحی تولید و اجرای سازه های سبک فولادی LSF","سالن ۳۵","۳۵۰۸",35.7894,51.40745,84
"آریابارون توس","فولاد و سازه","تولید انواع ساندویچ پانل سقفی دیواری سردخانه کانکس و سازه فلزی","سالن ۳۸B","۳۸۲۱۷",35.79076,51.40875,84
"آهن جهان عرفان","فولاد و سازه","تامین آهن آلات و مقاطع فولادی صنعتی و ساختمانی","سالن ۳۸A","۳۸۱۰۵.۱",35.7898,51.4081,78
"سازه پوشش","فولاد و سازه","تولید و صادرات ساندویچ پانل کانکس و ساختمان پیش ساخته","فضای باز ۳۸","OP۳۸۰۵",35.78984,51.4072,84
"سبک سازه بایرایرانیان","فولاد و سازه","نمایندگی فروش سقف و عرشه فولادی","سالن ۴۴A","۴۴۰۳",35.78868,51.40965,78
"شرکت بازرگانی گلستان فلز طبرستان","فولاد و سازه","حوزه فولاد و آهن آلات","سالن ۳۸A","۳۸۱۲۳",35.79032,51.4081,78
"شرکت تولیدی فولاد سپید فراب کویر","فولاد و سازه","تولید مقاطع طویل فولادی میلگرد شاخه و کلاف","سالن ۳۸A","۳۸۱۲۰",35.7902,51.40795,84
"شرکت صنعتی آرتاسوله","فولاد و سازه","طراحی ساخت و نصب انواع سازه های فولادی","سالن ۳۸A","۳۸۱۱۸",35.79012,51.4083,78
"شرکت فنی مهندسی افشار","فولاد و سازه","تولید دستگاه های ساندویچ پانل و ماشین آلات صنعتی","سالن ۳۵","۳۵۲۶",35.78936,51.40725,84
"صنعت تجارت پردیس آذربایجان","فولاد و سازه","تولیدکننده میلگرد در زنجیره فولاد","سالن ۴۰ همکف","۴۰۰۸",35.7916,51.40925,84
"فولاد کبیر پایا","فولاد و سازه","فرمینگ برش خمکاری محصولات فولادی","سالن ۳۸A","۳۸۱۱۶",35.79016,51.4082,78
"ماشین سازی فولاد برش","فولاد و سازه","تولید کننده دستگاه های خمکن خاموت زن برش میلگرد میکسر و بالابر","فضای باز ۷","OP۷۰۱",35.79292,51.4065,84
"مجتمع فولاد بافق","فولاد و سازه","تولید کننده انواع میلگرد آهن اسفنجی میلگرد کلاف","سالن ۳۸B","۳۸۲۲۳",35.79048,51.40875,84
"نسیم سرمایش ماهان گستر","فولاد و سازه","تولید انواع ساندویچ پانل","سالن ۳۵","۳۵۲۲",35.78968,51.40745,84
"نوآوران عمران سازه مانا","فولاد و سازه","ساندویچ پانل دیواری و سقفی با پنل اکسید منیزیم","سالن ۳۵","۳۵۱۰",35.78952,51.40735,78
"نوردکاران فولاد غرب آذرناب خاوری","فولاد و سازه","تولید کننده تخصصی ساندویچ پانل های پلی یورتان","سالن ۳۸B","۳۸۲۳۵",35.79068,51.4087,84
"پولادکف","فولاد و سازه","تولید کننده خرپای میلگردی شبکه میلگردی میلگرد شاخه و کلاف","سالن ۴۴B","۴۴۲۲۳",35.78888,51.4102,84
"کبیر پانل شکوهيه","فولاد و سازه","تولید کننده ساندویچ پانل سقفی و دیواری پلی اورتان","فضای باز ۴۴","OP۴۴۰۱",35.78852,51.41045,84
"گروه تولید و بازرگانی آسه تجارت آسیا","فولاد و سازه","تولیدکننده ساندویچ پانل های ساختمانی","سالن ۳۵","۳۵۲۴",35.78928,51.4075,84
"آدرین شیمی آروند","لوله و اتصالات","تولید نوار چسب عایق ضد خوردگی خطوط لوله","سالن ۴۰ همکف","۴۰۰۷",35.79128,51.40905,84
"آراد تجارت ایده نگر","لوله و اتصالات","ورق های پلیمری پوشش سقف سوله ساندویچ پانل و نورگیر","سالن ۳۸A","۳۸۱۱۵.۱",35.7902,51.4081,78
"اتصالات مکانیکی سهند پژوهش اساس","لوله و اتصالات","تولید اتصالات مکانیکی آرماتور","فضای باز ۴۱","OP۴۴۱۲",35.78948,51.4108,84
"اذربرزین جی سپاهان","لوله و اتصالات","تولیدی لوله و اتصالات فاضلابی تک لایه پلی اتیلن","سالن ۸ و ۹","۸۱۸",35.79204,51.407,84
"ارکاسازه بیستون پیشتاز","لوله و اتصالات","تولید کننده قالب پلیمری یوبوت وافل و لایت فوم","سالن ۴۴B","۴۴۲۰۲",35.78904,51.41,84
"انجمن تولیدکنندگان لوله و اتصالات پی وی سی","لوله و اتصالات","انجمن تولید کنندگان لوله و اتصالات پی وی سی","سالن ۷","۷۰۳",35.79194,51.4085,64
"بازرگانی صادقی","لوله و اتصالات","اتصالات آهنی","سالن ۳۸","۳۸۰۹",35.79016,51.40855,78
"تولیدی و صنعتی پلیمر گلپایگان","لوله و اتصالات","تولید کننده لوله و اتصالات پلیمری","سالن ۷","۷۱۳",35.79234,51.40825,84
"تولیدی پرسا","لوله و اتصالات","تولیدی اسپیسر و لوله","سالن ۳۵","۳۵۰۹",35.78964,51.4074,84
"جهان پلیمر سپاهان آرش","لوله و اتصالات","لوله و اتصالات","سالن ۸ و ۹","۸۰۶",35.7924,51.40665,78
"حامی آلیاژ آسیا","لوله و اتصالات","تولیدکننده فولادهای آلیاژی لوله پروفیل و سازه فلزی","سالن ۳۸A","۳۸۱۰۲",35.79024,51.40805,84
"درخشان تابان آریا","لوله و اتصالات","تولید کننده لوله و خرطومی برقی","سالن ۴۱ همکف","۴۱۰۶.۱",35.78976,51.40925,84
"زرد شمشال","لوله و اتصالات","تولید کننده انواع مقاطع و لوله های برنجی","سالن ۸ و ۹","۸۱۶",35.79216,51.4066,84
"سازه بستر آروشا","لوله و اتصالات","تولید کننده وال پست میلگرد بستر و اتصالات دیوار","فضای باز ۴۱","OP۴۴۰۹",35.78936,51.4108,84
"شرکت آذین فولاد سر آمد سپهر","لوله و اتصالات","تولید اتصالات چدنی گالوانیزه","سالن ۶","۶۰۶",35.7923,51.4077,84
"شرکت تولیدی صنعتی لوله و اتصالات نگاه نگین","لوله و اتصالات","تولید انواع لوله و اتصالات یو پی وی سی","سالن ۷","۷۱۰",35.79222,51.4085,84
"شرکت روگاگسترگیلان","لوله و اتصالات","صنایع لوله و اتصالات","سالن ۷","۷۱۸",35.7917,51.40815,78
"شرکت ستاره پلیمر گلپایگان","لوله و اتصالات","تولید لوله و اتصالات پی وی سی یو","سالن ۸ و ۹","۸۰۷",35.79196,51.4068,84
"شرکت لوله بیست بسپار اسپادانا","لوله و اتصالات","تولیدکننده لوله و اتصالات تک لایه و پنج لایه","سالن ۸ و ۹","۸۳۰",35.79184,51.40675,84
"شرکت لوله گستر خادمی","لوله و اتصالات","تولیدکننده انواع لوله و اتصالات پی وی سی و پلی اتیلن","سالن ۷","۷۰۴",35.79218,51.40845,84
"صبا پلیمر اسپادانا","لوله و اتصالات","تولید کننده لوله و اتصالات پی وی سی از سایز 20 تا 400 میلیمتر","سالن ۸ و ۹","۸۲۴",35.7924,51.4069,84
"صنایع ذوب آلیاژ نوین شمش","لوله و اتصالات","تولید کننده انواع مقاطع تو پر برنجی و لوله برنجی","سالن ۸ و ۹","۸۲۹",35.79204,51.40695,84
"صنایع پلیمرگسترعصرتهران","لوله و اتصالات","تولید لوله","سالن ۸ و ۹","۸۱۰",35.79224,51.4067,84
"فولاد صنعت امین ماهان","لوله و اتصالات","تولید کننده اتصالات جوشی گازرسانی و آتش نشانی","سالن ۸ و ۹","۸۰۹",35.792,51.40695,84
"لوله و اتصالات یزدان پلیمر","لوله و اتصالات","تولید لوله و اتصالات پلیکا برای فاضلابی و هواکشی ساختمان و آبیاری کشاورزی","سالن ۸ و ۹","۸۰۸",35.792,51.40685,84
"مجتمع تولیدی صنعتی حقی","لوله و اتصالات","تولید لوله و اتصالات پلیمری","سالن ۷","۷۱۱",35.7917,51.40835,84
"ناردین پلیمر اسپادانا","لوله و اتصالات","تولید کننده لوله و اتصالات سخت پی وی سی","سالن ۸ و ۹","۸۲۲",35.79236,51.40685,84
"نصر بسپار سپاهان","لوله و اتصالات","تولید کننده لوله و اتصالات تک لایه سه لایه و پنج لایه","سالن ۸ و ۹","۸۲۸",35.79184,51.4066,84
"نفیس گستر نقش جهان","لوله و اتصالات","تولید کننده لوله و اتصالات پنج لایه و تک لایه","سالن ۸ و ۹","۸۱۴",35.79212,51.407,84
"نواپلاست پرند","لوله و اتصالات","تولید کننده لوله و اتصالات پوش فیت و چسبی یو پی وی سی","سالن ۸ و ۹","۸۱۱",35.79196,51.40675,84
"وینوپلاستیک","لوله و اتصالات","تولید کننده لوله و اتصالات یو پی وی سی و سی پی وی سی و ورق سایدینگ","سالن ۸ و ۹","۸۲۱",35.79232,51.4068,84
"پدیده پایدار صنعت ساختمان گروه صنعتی گلرنگ","لوله و اتصالات","تولید دیوارهای سبک بتنی با الیاف پلیمری والکریت","سالن ۴۴A","۴۴۱۰",35.78864,51.40985,84
"پی وی سی آذر اتصال","لوله و اتصالات","تولید کننده لوله و اتصالات پلیکا فاضلابی","سالن ۸ و ۹","۸۰۳",35.79184,51.40665,84
"کیمیا بتن قزوین","لوله و اتصالات","تولید خانه های پیش ساخته بتنی قطعات بتنی لوله و قالب","فضای باز ۳۵","OP۳۵۱۳",35.78964,51.40685,84
"گروه صنعتی رنگین فلز اسپادانا","لوله و اتصالات","تولید مقاطع برنجی لوله شش پر میلگرد","سالن ۷","۷۰۷",35.79174,51.4082,84
"گروه صنعتی عرفان","لوله و اتصالات","تولید اتصالات گالوانیزه و برنجی","سالن ۷","۷۰۸",35.7923,51.4082,84
"گلین لعل","لوله و اتصالات","تولیدکننده لوله و اتصالات پی وی سی","سالن ۸ و ۹","۸۱۹",35.79224,51.4067,84
"آشکار ساز صنعت ایمنی","هوشمندسازی","تولید کننده سیستم اعلام حریق","سالن ۴۱ همکف","۴۱۰۷.۱",35.79012,51.4095,84
"آینده سازان و ایده پردازان نسل توسعه الکترونیک","هوشمندسازی","هوشمند سازی ساختمان","سالن ۴۴A","۴۴۰۴",35.7886,51.4098,78
"الکترونیک کاران","هوشمندسازی","دزدگیر اماکن و خانه هوشمند","سالن ۴۱ بالا","۴۱۱۴",35.78992,51.4096,78
"ایده پردازان توسعه انرژی آترون","هوشمندسازی","خانه هوشمند","سالن ۴۱ بالا","۴۱۲۱",35.78996,51.4096,78
"بوژان آشیانه سازان هوشمند","هوشمندسازی","هوشمندسازی ساختمان","سالن ۳۱A","۳۱۰۴",35.791,51.41065,78
"ساختمان هوشمند لوتوس","هوشمندسازی","ساختمان هوشمند","سالن ۳۱A","۳۱۰۸",35.791,51.41075,78
"سامانه های هوشمند پردازش سبز","هوشمندسازی","تولید کننده تجهیزات هوشمند سازی و کنترل تردد خودرو","سالن ۳۸B","۳۸۲۳۴",35.79084,51.4088,84
"شرکت هوشمند بنیان بهاران","هوشمندسازی","سیستم های هوشمند ، خانه هوشمند","سالن ۴۱ همکف","۴۱۰۴",35.78992,51.4095,78
"شرکت یکتا هوش ایرسا","هوشمندسازی","تولید تجهیزات هوشمند سازی ساختمان","سالن ۴۱ همکف","۴۱۰۷",35.79012,51.40925,84
"فناوران انرژی سبز درخشان","هوشمندسازی","خانه هوشمند دوربین اعلام حریق کنترل تردد و صوت","سالن ۳۱A","۳۱۱۰",35.79124,51.41075,78
"فناوری سانا پژوهش گستر","هوشمندسازی","تولید کننده سیستم های اعلام حریق","سالن ۴۱ بالا","۴۱۲۷",35.78968,51.40965,84
"مشاوران گسترش ارتباطات و فناوری اطلاعات یاکند","هوشمندسازی","هوشمندسازی ساختمان","سالن ۴۴B","۴۴۲۰۳",35.78888,51.41035,78
"هوشمند ابنیه فامور","هوشمندسازی","مهندسی تامین و اجرای ساختمان هوشمند","سالن ۳۸","۳۸۰۴",35.79,51.4086,78
"هوشمند سازی ساختمان میرای","هوشمندسازی","هوشمند سازی ساختمان","سالن ۳۱A","۳۱۱۲",35.79092,51.41075,78
"هوشمندسازان چیره","هوشمندسازی","تجهیزات هوشمند خانگی","سالن ۳۸B","۳۸۲۰۵",35.7906,51.40875,78
"پارلار ایمن هوشمند","هوشمندسازی","خانه هوشمند","سالن ۳۵","۳۵۰۲",35.78948,51.4072,78
"کنترل بهین آفاق","هوشمندسازی","تولیدکننده دانش بنیان محصولات خانه هوشمند","سالن ۴۴A","۴۴۰۹",35.78884,51.4098,88
"گروه تولیدی تیما","هوشمندسازی","تولیدکننده کابینت روشویی و آینه هوشمند","سالن ۶","۶۱۳",35.7923,51.4076,84
"الگانته","کاشی و چینی بهداشتی","تولید روشویی کابینتی پی وی سی ضدآب","سالن ۸ و ۹","۸۱۷",35.7922,51.40665,84
"اوج سرام طرح","کاشی و چینی بهداشتی","کاشی و سرامیک","سالن ۳۸","۳۸۱۸",35.79024,51.4082,78
"ایفاسرام","کاشی و چینی بهداشتی","تولید کننده کاشی و سرامیک","سالن ۶","۶۱۵",35.79266,51.40765,84
"ایگل هرمس خاورمیانه","کاشی و چینی بهداشتی","عمده فروشی کاشی و سرامیک و مصالح بهداشتی","سالن ۳۸","۳۸۲۵",35.79044,51.40855,78
"باراد الوند آرتان","کاشی و چینی بهداشتی","طراحی تولید فروش کابینت های روشویی","سالن ۵","۵۱۰",35.79256,51.407,84
"بالانس پلاست","کاشی و چینی بهداشتی","تولید همتراز و ملزومات نصب کاشی وسرامیک","سالن ۶","۶۰۶.۱",35.79254,51.4079,84
"سانا آپادانا ایرانیان","کاشی و چینی بهداشتی","اولین تولید کننده سرامیک های پرسلانی اسلب در ایران","سالن ۳۸","۳۸۲۳",35.7902,51.4086,84
"ستاره آرتام درخشان دینوکل","کاشی و چینی بهداشتی","تولیدکننده تخصصی چسب های پودری کاشی و سرامیک","سالن ۳۸","۳۸۱۰",35.79008,51.40825,84
"سرام پخش سورن","کاشی و چینی بهداشتی","تولید و توزیع کاشی و سرامیک","سالن ۶","۶۱۰.۱",35.79242,51.40785,84
"سهند شیمی آران","کاشی و چینی بهداشتی","تولید کننده انواع چسب کاشی مواد آب بندی و پودر بندکشی","سالن ۴۰ همکف","۴۰۰۶",35.79168,51.4091,84
"شرکت لوتوس سرام پاسارگاد","کاشی و چینی بهداشتی","تولید چینی بهداشتی (تولید انواع توالت)","سالن ۸ و ۹","۸۰۲",35.7918,51.4066,84
"شرکت مهندسی روهین تراش","کاشی و چینی بهداشتی","تولید کننده همتراز نوار کنج اسپیسر بند کاشی","سالن ۴۴B","۴۴۲۲۳.۱",35.789,51.41035,84
"شیمیایی آژن شیمی کارا","کاشی و چینی بهداشتی","تولید کننده افزودنی بتن و چسب کاشی","سالن ۴۰ بالا","۴۰۲۰",35.79156,51.4093,84
"صنعت شیمی ساختمان","کاشی و چینی بهداشتی","چسب کاشی چسب بتن واترپروف گروت و افزودنی بتن","سالن ۴۰ بالا","۴۰۱۵",35.79104,51.4096,78
"لوکو","کاشی و چینی بهداشتی","تولید و پخش دستگیره کابینت آبچکان و سوپری","سالن ۴۴B","۴۴۲۰۴",35.78888,51.4102,84
"نیکس کابین","کاشی و چینی بهداشتی","تولید کابین و کاسه روشویی","سالن ۵","۵۱۴.۱",35.7926,51.4074,84
"هدف ماهرساخت کریمان","کاشی و چینی بهداشتی","تولید کننده چسب کاشی","سالن ۴۴B","۴۴۲۱۲.۱",35.78904,51.4101,84
"همتراز","کاشی و چینی بهداشتی","تولید کننده ملزومات نصب کاشی و سرامیک","سالن ۵","۵۰۶",35.79296,51.40725,84
"ویتا","کاشی و چینی بهداشتی","کابینت روشویی بهداشتی","سالن ۳۸","۳۸۰۱",35.79052,51.4085,78
"پایا سپهر الوند","کاشی و چینی بهداشتی","تولید کننده کابینت روشویی پی وی سی با برند لوکس کابین و هایلوکس","سالن ۶","۶۱۲",35.79262,51.4076,84
"چوب آوران","کاشی و چینی بهداشتی","تولید کننده لوازم چوبی مبلمان پارکت و کابینت","سالن ۴۴B","۴۴۲۰۹",35.78892,51.41005,84
"کارپردازان دارکوب راش","کاشی و چینی بهداشتی","تولید کننده کمد و کابینت","سالن ۳۸B","۳۸۲۰۱",35.79076,51.4089,84
"کاکتوس صنعت کویر ایرانیان","کاشی و چینی بهداشتی","تولید کننده کابین روشویی","سالن ۳۱B","۳۱۱۱۱",35.79094,51.4109,84
"گروه تولیدی هامی","کاشی و چینی بهداشتی","تولید کننده دستگیره و یراق الات کابینت","سالن ۴۴B","۴۴۲۱۷",35.78896,51.41005,84
"گروه صنعتی لاکچری کابین","کاشی و چینی بهداشتی","تولیدکننده انواع کابینت روشویی","سالن ۲۷","۲۷۰۲",35.79114,51.40765,84
"گروه صنعتی لیزاکو","کاشی و چینی بهداشتی","تولید کننده کابین روشویی بهداشتی","سالن ۳۱B","۳۱۱۰۵",35.79038,51.41105,84
"گروه صنعتی ویترکس","کاشی و چینی بهداشتی","تولید کننده همتراز کاشی اسپیسر و اسکوپ سنگ","سالن ۸ و ۹","۸۱۱.۱",35.79204,51.4069,84
"آروین گستر بارز ارومیه","یراق‌آلات","یراق آلات","سالن ۴۴B","۴۴۲۱۱",35.78888,51.4104,78
"آلتین کلید سلماس","یراق‌آلات","تولید کننده قفل و دستگیره","سالن ۳۸B","۳۸۲۳۱",35.79084,51.4089,84
"شرکت تعاونی تولیدی قطعه فن آوران بابل","یراق‌آلات","تولید قفل و لولا","سالن ۴۴B","۴۴۲۱۰",35.78932,51.4103,84
"شرکت فنی مهندسی زیباآشیان پارس","یراق‌آلات","تولید یراق آلات و نصب و اجرای نمای خشک","سالن ۳۸A","۳۸۱۱۳",35.79,51.40815,84
"ماندگار یراق پارسه","یراق‌آلات","تولید کننده دستگیره های دیجیتال","سالن ۴۴B","۴۴۲۱۸",35.789,51.4101,84
"کوبه تجارت مبین","یراق‌آلات","یراق آلات","سالن ۴۴B","۴۴۲۱۹",35.78904,51.41015,78
"گروه فنی مهندسی حمیدان پور","یراق‌آلات","تولید کننده انواع قفل","سالن ۴۴B","۴۴۲۰۵",35.7888,51.4103,84
